Item,Description,Price (USD),URL
⚙️ Stage 1: General Kart Mechanics,,,
Motorbike Motor,"4-stroke engine 110cc, includes clutch, gearbox, power on, etc.",$ 305.00,https://www.mercadolibre.com.ar/motor-corven-110cc-0km/up/MLAU4741166240
Structural Steel Tubing,"1 1/4"" round steel tubing for chassis. Quantity: 12m",$44.00,https://www.mercadolibre.com.ar/cano-estructural-redondo-114-317mm-x-16mm--bar-x-6mt/up/MLAU3640604015
Rear Axle,30mm solid SAE 1045 steel axle. Quantity: 1m,$5.00,https://www.mercadolibre.com.ar/barra-acero-trefilado-redondo-1045--diametro-30-mm-x-300-mm/up/MLAU4192277497
Ball Bearing with Pillow Blocks,Pillow block bearing units UCP 206. Quantity: 2,$ 30.00,https://www.mercadolibre.com.ar/soporte-con-ruleman-ucp-206-eje-30mm-ms-rodamientos/up/MLAU267201413
Sprocket Pinion and drive chain,Secondary Transmission,$ 31.00,"https://www.mercadolibre.com.ar/kir-corona-pinon-honda-wave-s-110-afs-cadena-dorada-far/up/MLAU3492298425"
Tires and Wheels,Set of tires and rims for Go-Kart. Quantity: 4,$ 208.00,https://www.mercadolibre.com.ar/cubierta-de-cuatriciclo-duro-145706-145-70-6-hf240-rpm1240/up/MLAU253505100
Rear Wheels Suspension,"Trailing-arm, Homemade. Approx Price",$ 50.00,Local purchase / Workshop
Front Wheels Suspension,"Double-wishbone, Homemade. Approx Price",$ 50.00,Local purchase / Workshop
Steering System,Homemade. Approx Price,$ 50.00,Local purchase / Workshop
Brake System,Disc brake system / adaptation of old motorcycle. Approx. price,$ 50.00,Local purchase / Workshop
♻️ Stage 2: Biomass Gasifier (Wood Gas),,,
20-Liter Drum,1 20L Drum with airtight lid and locking ring (Gasifier),$12.00,Local purchase / Workshop
Electric Thermometer,1 12VDC automotive electric thermometer (with cooler),$19.00,Local purchase / Workshop
Nozzle and Fittings,"1 Nipple nozzle, 'T', all-metal plug 10mm (3/8"")",$4.00,Local purchase / Workshop
Metal Pocket,1 Metal pocket,$3.00,Local purchase / Workshop
Galvanized Inner Lid,"1 Inner lid, sacrificial galvanized sheet, stainless steel funnel",$9.00,Local purchase / Workshop
Tank Outlet & Accessories,"1 Tank outlet, 1 Elbow, 1 All-plastic double union 19mm (3/4"")",$5.00,Local purchase / Workshop
Drip Regulator (Perfus),"No. 1 Drip regulator w/ needle, thumbwheel adjustment & shut-off valve",$3.00,Local purchase / Workshop
Various Accessories (Barb/Hose),"Plastic barb fitting and 19mm (3/4"") rubber hose",$3.00,Local purchase / Workshop
4L Plastic Container,1 4L Plastic container with airtight lid (Filter),$2.00,Local purchase / Workshop
Tank Outlets & Filter Union,"2 Tank outlets, 1 All-plastic double union 19mm (3/4"")",$4.00,Local purchase / Workshop
Silicone Teflon & Epoxy,"1 Tube of silicone, Teflon tape, and epoxy putty",$6.00,Local purchase / Workshop
Filter Miscellaneous Materials,"Foam rubber, oil, plastic filter plates for filtering",$2.00,Local purchase / Workshop
Plastic T & Reducer,"25mm (1"") Plastic T and 25 to 19mm (1"" to 3/4"") reducer bushing",$2.00,Local purchase / Workshop
Metal Ball Valve,"25mm (1"") Metal ball valve (AFR)",$14.00,Local purchase / Workshop
📟 Stage 3: IoT Telemetry & Electronics,,,
MAX6675 + K-Type Thermocouple,Temperature measurement module for gasifier. Quantity: 1,$9.00,https://www.mercadolibre.com.ar/modulo-acondicionador-max6675-termocupla-tipo-k-unoelectro/p/MLA2043281139
MQ7 CO Sensor Module,Carbon monoxide (CO) concentration sensor. Quantity: 1,$3.37,https://www.mercadolibre.com.ar/mq7-modulo-sensor-co-mono-oxido-de-carbono-arduino-2gtech/p/MLA2068500058
A3144 Hall Effect Sensor,Magnetic sensor to measure engine RPM. Quantity: 1,$2.11,https://www.mercadolibre.com.ar/sensor-efecto-hall-a3144-detector-campo-magnetico-nubbeo/up/MLAU264084314
0.96'' I2C OLED Display,128x64 OLED display for local telemetry. Quantity: 1,$5.00,https://www.mercadolibre.com.ar/display-arduino-i2c-oled-096-blanco-128x64-ssd1306/p/MLA46872021
ESP32 WROOM Board,IoT Microcontroller with WiFi + Bluetooth. Quantity: 1,$11.00,https://www.mercadolibre.com.ar/nodemcu-esp32-38-pines-usb-c-wifi-bluetooth-placa-desarrollo-iot-compatible-arduino/p/MLA42485623
TOTAL PROJECT COST (USD),,$ 774.00,
